
 # Omega; pulse ft; flux 

  0.0000      0.355898E-14          Infinity          Infinity      0.460131E-09      0.105879E-20
  1.0174      0.438007E-04      0.795389E+00     -0.336146E-13      0.828156E-04     -0.349994E-17
  1.0236      0.436991E-04      0.778431E+00     -0.309576E-13      0.813611E-04     -0.323567E-17
  1.0299      0.435703E-04      0.760753E+00     -0.282747E-13      0.797654E-04     -0.296462E-17
  1.0362      0.434144E-04      0.744857E+00      0.165035E-13      0.782938E-04      0.173472E-17
  1.0425      0.432318E-04      0.728180E+00     -0.233909E-13      0.766808E-04     -0.246317E-17
  1.0488      0.430227E-04      0.713278E+00      0.195073E-13      0.751986E-04      0.205660E-17
  1.0550      0.427876E-04      0.697590E+00     -0.189196E-13      0.735808E-04     -0.199561E-17
  1.0613      0.425268E-04      0.683628E+00      0.220714E-13      0.720952E-04      0.232765E-17
  1.0676      0.422408E-04      0.668927E+00     -0.146625E-13      0.704850E-04     -0.154499E-17
  1.0739      0.419301E-04      0.655872E+00     -0.497221E-13      0.690045E-04     -0.523128E-17
  1.0802      0.415951E-04      0.642168E+00     -0.105859E-13      0.674150E-04     -0.111131E-17
  1.0864      0.412365E-04      0.630010E+00     -0.446010E-13      0.659496E-04     -0.466885E-17
  1.0927      0.408549E-04      0.617334E+00     -0.708088E-14      0.643947E-04     -0.738613E-18
  1.0990      0.404508E-04      0.606090E+00     -0.398267E-13      0.629563E-04     -0.413691E-17
  1.1053      0.400250E-04      0.594493E+00     -0.383500E-14      0.614508E-04     -0.396411E-18
  1.1116      0.395782E-04      0.584212E+00     -0.352349E-13      0.600532E-04     -0.362191E-17
  1.1178      0.391110E-04      0.573777E+00     -0.530671E-15      0.586136E-04     -0.542101E-19
  1.1241      0.386242E-04      0.564551E+00     -0.311597E-13      0.572733E-04     -0.316113E-17
  1.1304      0.381187E-04      0.555409E+00      0.225470E-14      0.559191E-04      0.227005E-18
  1.1367      0.375952E-04      0.547394E+00     -0.274512E-13      0.546571E-04     -0.274100E-17
  1.1430      0.370545E-04      0.539758E+00      0.487895E-14      0.534131E-04      0.482809E-18
  1.1492      0.364975E-04      0.533193E+00     -0.240094E-13      0.522559E-04     -0.235306E-17
  1.1555      0.359251E-04      0.527366E+00      0.761490E-14      0.511523E-04      0.738613E-18
  1.1618      0.353381E-04      0.522521E+00     -0.208559E-13      0.501251E-04     -0.200069E-17
  1.1681      0.347375E-04      0.518714E+00      0.988115E-14      0.491786E-04      0.936818E-18
  1.1744      0.341241E-04      0.515169E+00     -0.181464E-13      0.482380E-04     -0.169915E-17
  1.1806      0.334989E-04      0.511485E+00      0.123190E-13      0.472670E-04      0.113841E-17
  1.1869      0.328628E-04      0.501264E+00     -0.151862E-13      0.456846E-04     -0.138405E-17
  1.1932      0.322168E-04      0.472022E+00      0.137306E-13      0.423970E-04      0.123328E-17
  1.1995      0.315617E-04      0.373267E+00     -0.938419E-14      0.330179E-04     -0.830092E-18
  1.2058      0.308985E-04      0.184794E+00      0.641226E-14      0.160865E-04      0.558195E-18
  1.2120      0.302281E-04      0.394044E-01     -0.714880E-15      0.337326E-05     -0.611981E-19
  1.2183      0.295516E-04      0.444630E-01     -0.328749E-14      0.374040E-05     -0.276556E-18
  1.2246      0.288697E-04      0.113923E+00     -0.172777E-14      0.941075E-05     -0.142725E-18
  1.2309      0.281835E-04      0.165888E+00     -0.114426E-13      0.134463E-04     -0.927501E-18
  1.2372      0.274939E-04      0.200200E+00     -0.203561E-14      0.159112E-04     -0.161783E-18
  1.2434      0.268017E-04      0.221449E+00     -0.141192E-13      0.172440E-04     -0.109945E-17
  1.2497      0.261079E-04      0.235210E+00     -0.999955E-15      0.179316E-04     -0.762330E-19
  1.2560      0.254134E-04      0.244173E+00     -0.143328E-13      0.182108E-04     -0.106896E-17
  1.2623      0.247190E-04      0.250248E+00      0.000000E+00      0.182446E-04      0.000000E+00
  1.2686      0.240255E-04      0.254473E+00     -0.137974E-13      0.181218E-04     -0.982558E-18
  1.2748      0.233339E-04      0.258470E+00      0.129178E-14      0.179651E-04      0.897855E-19
  1.2811      0.226448E-04      0.261706E+00     -0.127832E-13      0.177398E-04     -0.866515E-18
  1.2874      0.219592E-04      0.270157E+00      0.285956E-14      0.178453E-04      0.188888E-18
  1.2937      0.212777E-04      0.271641E+00     -0.119448E-13      0.174712E-04     -0.768259E-18
  1.3000      0.206011E-04      0.141767E+00      0.219289E-14      0.887100E-05      0.137219E-18
  1.3062      0.199302E-04      0.104434E+00     -0.401730E-14      0.635264E-05     -0.244369E-18
  1.3125      0.192656E-04      0.188639E+00      0.392812E-14      0.111455E-04      0.232087E-18
  1.3188      0.186080E-04      0.215685E+00     -0.720881E-14      0.123674E-04     -0.413352E-18
  1.3251      0.179581E-04      0.201653E+00      0.523296E-14      0.112120E-04      0.290956E-18
  1.3314      0.173164E-04      0.146661E+00     -0.415121E-14      0.790030E-05     -0.223617E-18
  1.3376      0.166835E-04      0.169704E+00      0.525498E-14      0.884903E-05      0.274015E-18
  1.3439      0.160600E-04      0.184094E+00     -0.423258E-14      0.928401E-05     -0.213452E-18
  1.3502      0.154464E-04      0.164698E+00     -0.127844E-13      0.802582E-05     -0.622993E-18
  1.3565      0.148431E-04      0.162341E+00     -0.301577E-14      0.763739E-05     -0.141878E-18
  1.3628      0.142507E-04      0.161870E+00     -0.118067E-13      0.734516E-05     -0.535748E-18
  1.3690      0.136696E-04      0.159518E+00     -0.215986E-14      0.697522E-05     -0.944442E-19
  1.3753      0.131001E-04      0.152801E+00     -0.103320E-13      0.643251E-05     -0.434951E-18
  1.3816      0.125426E-04      0.149229E+00     -0.124471E-14      0.604230E-05     -0.503985E-19
  1.3879      0.119975E-04      0.145842E+00     -0.922006E-14      0.567418E-05     -0.358718E-18
  1.3942      0.114650E-04      0.144019E+00     -0.470603E-15      0.537879E-05     -0.175759E-19
  1.4005      0.109454E-04      0.140314E+00     -0.801136E-14      0.502545E-05     -0.286932E-18
  1.4067      0.104389E-04      0.137268E+00      0.240693E-15      0.470987E-05      0.825857E-20
  1.4130      0.994580E-05      0.133394E+00     -0.713241E-14      0.438020E-05     -0.234205E-18
  1.4193      0.946616E-05      0.130700E+00      0.951131E-15      0.410293E-05      0.298579E-19
  1.4256      0.900017E-05      0.127747E+00     -0.621598E-14      0.382969E-05     -0.186347E-18
  1.4319      0.854792E-05      0.125313E+00      0.140690E-14      0.358368E-05      0.402341E-19
  1.4381      0.810951E-05      0.122503E+00     -0.516768E-14      0.333821E-05     -0.140819E-18
  1.4444      0.768498E-05      0.119866E+00      0.209013E-14      0.310886E-05      0.542101E-19
  1.4507      0.727435E-05      0.117102E+00     -0.431123E-14      0.288739E-05     -0.106303E-18
  1.4570      0.687762E-05      0.114537E+00      0.264547E-14      0.268170E-05      0.619393E-19
  1.4633      0.649477E-05      0.112062E+00     -0.347125E-14      0.248837E-05     -0.770800E-19
  1.4695      0.612574E-05      0.109716E+00      0.300017E-14      0.230771E-05      0.631040E-19
  1.4758      0.577044E-05      0.107442E+00     -0.298511E-14      0.213790E-05     -0.593982E-19
  1.4821      0.542878E-05      0.105204E+00     -0.850426E-14      0.197781E-05     -0.159877E-18
  1.4884      0.510063E-05      0.102996E+00     -0.187427E-14      0.182695E-05     -0.332460E-19
  1.4947      0.478584E-05      0.100827E+00     -0.735479E-14      0.168519E-05     -0.122926E-18
  1.5009      0.448426E-05      0.987029E-01     -0.160910E-14      0.155223E-05     -0.253051E-19
  1.5072      0.419568E-05      0.966748E-01     -0.720872E-14      0.142844E-05     -0.106514E-18
  1.5135      0.391991E-05      0.946718E-01     -0.136721E-14      0.131235E-05     -0.189524E-19
  1.5198      0.365672E-05      0.927955E-01     -0.670659E-14      0.120496E-05     -0.870856E-19
  1.5261      0.340589E-05      0.908951E-01     -0.300785E-15      0.110386E-05     -0.365283E-20
  1.5323      0.316716E-05      0.891393E-01     -0.510742E-14      0.101080E-05     -0.579159E-19
  1.5386      0.294026E-05      0.873172E-01      0.160266E-15      0.922970E-06      0.169407E-20
  1.5449      0.272491E-05      0.856619E-01     -0.544674E-14      0.842582E-06     -0.535748E-19
  1.5512      0.252084E-05      0.839203E-01     -0.359247E-15      0.766736E-06     -0.328225E-20
  1.5575      0.232774E-05      0.823663E-01     -0.485600E-14      0.697705E-06     -0.411340E-19
  1.5637      0.214530E-05      0.807193E-01     -0.675392E-17      0.632706E-06     -0.529396E-22
  1.5700      0.197322E-05      0.792656E-01     -0.423455E-14      0.573768E-06     -0.306520E-19
  1.5763      0.181116E-05      0.777202E-01      0.373002E-15      0.518443E-06      0.248816E-20
  1.5826      0.165881E-05      0.763558E-01     -0.333146E-14      0.468355E-06     -0.204347E-19
  1.5889      0.151583E-05      0.749121E-01      0.249298E-15      0.421560E-06      0.140290E-20
  1.5951      0.138189E-05      0.736252E-01     -0.325834E-14      0.379201E-06     -0.167818E-19
  1.6014      0.125665E-05      0.722853E-01      0.122720E-14      0.339892E-06      0.577041E-20
  1.6077      0.113978E-05      0.710712E-01     -0.208964E-14      0.304291E-06     -0.894679E-20
  1.6140      0.103093E-05      0.698426E-01     -0.625023E-14      0.271530E-06     -0.242993E-19
  1.6203      0.929765E-06      0.687038E-01     -0.102273E-14      0.241830E-06     -0.359989E-20
  1.6265      0.835956E-06      0.675973E-01     -0.508230E-14      0.214758E-06     -0.161466E-19
  1.6328      0.749165E-06      0.665410E-01     -0.163922E-14      0.190185E-06     -0.468515E-20
  1.6391      0.669059E-06      0.655712E-01     -0.605866E-14      0.168018E-06     -0.155245E-19
  1.6454      0.595312E-06      0.646155E-01     -0.225240E-14      0.147883E-06     -0.515499E-20
  1.6517      0.527601E-06      0.638116E-01     -0.693565E-14      0.129926E-06     -0.141216E-19
  1.6579      0.465607E-06      0.630062E-01     -0.123273E-14      0.113643E-06     -0.222346E-20
  1.6642      0.409019E-06      0.624479E-01     -0.495538E-14      0.993216E-07     -0.788138E-20
  1.6705      0.357530E-06      0.618938E-01     -0.199163E-14      0.863729E-07     -0.277933E-20
  1.6768      0.310841E-06      0.617308E-01     -0.161112E-14      0.751775E-07     -0.196207E-20
  1.6831      0.268661E-06      0.617372E-01     -0.104600E-14      0.652265E-07     -0.110511E-20
  1.6893      0.230706E-06      0.620219E-01     -0.449450E-14      0.564799E-07     -0.409289E-20
  1.6956      0.196700E-06      0.570530E-01     -0.105719E-14      0.444615E-07     -0.823872E-21
  1.7019      0.166376E-06      0.507594E-01     -0.677146E-14      0.335825E-07     -0.448001E-20
  1.7082      0.139475E-06      0.514430E-01     -0.271033E-14      0.286371E-07     -0.150878E-20
  1.7145      0.115748E-06      0.528619E-01     -0.677193E-14      0.245108E-07     -0.313998E-20
  1.7207      0.949557E-07      0.534796E-01     -0.767434E-14      0.204172E-07     -0.292987E-20
  1.7270      0.768664E-07      0.544774E-01     -0.127101E-13      0.168975E-07     -0.394234E-20
  1.7333      0.612598E-07      0.555148E-01      0.739837E-14      0.137731E-07      0.183551E-20
  1.7396      0.479248E-07      0.515040E-01     -0.434834E-14      0.100327E-07     -0.847033E-21
  1.7459      0.366600E-07      0.510783E-01     -0.149870E-13      0.763854E-08     -0.224125E-20
  1.7521      0.272739E-07      0.551618E-01      0.563023E-14      0.615922E-08      0.628657E-21
  1.7584      0.195848E-07      0.580108E-01     -0.462851E-14      0.466790E-08     -0.372438E-21
  1.7647      0.134207E-07      0.596108E-01     -0.325903E-13      0.329871E-08     -0.180346E-20
  1.7710      0.861950E-08      0.668080E-01      0.473951E-13      0.238285E-08      0.169045E-20
  1.7773      0.502846E-08      0.714977E-01     -0.227356E-12      0.149297E-08     -0.474750E-20
  1.7835      0.250440E-08      0.995482E-01     -0.216106E-12      0.103894E-08     -0.225541E-20
  1.7898      0.913402E-09      0.161662E+00      0.596160E-12      0.617520E-09      0.227723E-20
  1.7961      0.130670E-09      0.923283E+00      0.585455E-12      0.506307E-09      0.321049E-21
  1.8024      0.402986E-10      0.179846E+01     -0.302983E-10      0.305218E-09     -0.514194E-20
  1.8087      0.535054E-09      0.176661E+00      0.120172E-11      0.399454E-09      0.271726E-20
  1.8149      0.151613E-08      0.644982E-01     -0.372146E-12      0.414684E-09     -0.239267E-20
  1.8212      0.289286E-08      0.510540E-01     -0.114912E-12      0.628480E-09     -0.141458E-20
